"districtname","population","district"
"",2018,NA
"Wien",1888776,NA
" Innere Stadt",16450,1
" Leopoldstadt",105574,2
" Landstraße",90712,3
" Wieden",33319,4
" Margareten",55640,5
" Mariahilf",32069,6
" Neubau",32467,7
" Josefstadt",25662,8
" Alsergrund",42547,9
" Favoriten",201882,10
" Simmering",101420,11
" Meidling",97624,12
" Hietzing",54265,13
" Penzing",92752,14
" Rudolfsheim-Fünfhaus",79029,15
" Ottakring",104627,16
" Hernals",57546,17
" Währing",51647,18
" Döbling",72650,19
" Brigittenau",87239,20
" Floridsdorf",162779,21
" Donaustadt",187007,22
" Liesing",103869,23
