"primary_key","affected_organism_Affected_Organisms"
"DB00001","Humans and other mammals"
"DB00002","Humans and other mammals"
"DB00003","Humans and other mammals"
"DB00004","Humans and other mammals"
"DB00005","Humans and other mammals"
"DB00006","Humans and other mammals"
"DB00007","Humans and other mammals"
"DB00008","Humans and other mammals"
"DB00009","Humans and other mammals"
"DB00010","Humans and other mammals"
"DB00011","Humans and other mammals"
"DB00012","Humans and other mammals"
"DB00013","Humans and other mammals"
"DB00014","Humans and other mammals"
"DB00015","Humans and other mammals"
"DB00016","Humans and other mammals"
"DB00017","Humans and other mammals"
"DB00018","Humans and other mammals"
"DB00019","Humans and other mammals"
"DB00020","Humans and other mammals"
"DB00022","Humans and other mammals"
"DB00023","Humans and other mammals"
"DB00024","Humans and other mammals"
"DB00025","Humans and other mammals"
"DB00026","Humans and other mammals"
"DB00027","Pseudomonas aeruginosa"
"DB00027","Streptococcus pneumoniae"
"DB00027","Streptococcus agalactiae"
"DB00027","Neisseria meningitidis"
"DB00027","Haemophilus influenzae"
"DB00027","Neisseria gonorrhoeae"
"DB00027","Escherichia coli"
"DB00027","Staphylococcus aureus"
"DB00027","Klebsiella"
"DB00027","Enterobacter"
"DB00028","Humans and other mammals"
"DB00028","Bacteria and protozoa"
"DB00028","Various viruses"
"DB00029","Humans and other mammals"
"DB00030","Humans and other mammals"
"DB00031","Humans and other mammals"
"DB00032","Humans and other mammals"
"DB00034","Humans and other mammals"
"DB00035","Humans and other mammals"
"DB00036","Humans and other mammals"
"DB00038","Humans and other mammals"
"DB00039","Humans and other mammals"
"DB00040","Humans and other mammals"
"DB00041","Humans and other mammals"
"DB00042","Humans and other mammals"
"DB00043","Humans and other mammals"
"DB00044","Humans and other mammals"
"DB00045","Humans and other mammals"
"DB00046","Humans and other mammals"
"DB00047","Humans and other mammals"
"DB00048","Humans and other mammals"
"DB00049","Humans and other mammals"
"DB00050","Humans and other mammals"
"DB00051","Humans and other mammals"
"DB00052","Humans and other mammals"
"DB00053","Humans and other mammals"
"DB00054","Humans and other mammals"
"DB00055","Humans and other mammals"
"DB00056","Humans and other mammals"
"DB00057","Humans and other mammals"
"DB00058","Humans and other mammals"
"DB00059","Humans and other mammals"
"DB00061","Humans and other mammals"
"DB00062","Humans and other mammals"
"DB00063","Humans and other mammals"
"DB00065","Humans and other mammals"
"DB00066","Humans and other mammals"
"DB00067","Humans and other mammals"
"DB00068","Humans and other mammals"
"DB00069","Humans and other mammals"
"DB00070","Humans and other mammals"
"DB00071","Humans and other mammals"
"DB00072","Humans and other mammals"
"DB00073","Humans and other mammals"
"DB00074","Humans and other mammals"
"DB00075","Humans and other mammals"
"DB00076","Humans and other mammals"
"DB00078","Humans and other mammals"
"DB00080","Enteric bacteria and other eubacteria"
"DB00081","Humans and other mammals"
"DB00082","Humans and other mammals"
"DB00083","Humans and other mammals"
"DB00085","Humans and other mammals"
"DB00086","Humans and other mammals"
"DB00088","Humans and other mammals"
"DB00089","Humans and other mammals"
"DB00090","Humans and other mammals"
"DB00091","Humans and other mammals"
"DB00092","Humans and other mammals"
"DB00093","Humans and other mammals"
"DB00094","Humans and other mammals"
"DB00095","Humans and other mammals"
"DB00097","Humans and other mammals"
"DB00098","Humans and other mammals"
"DB00099","Humans and other mammals"
"DB00100","Humans and other mammals"
"DB00102","Humans and other mammals"
"DB00103","Humans and other mammals"
"DB00104","Humans and other mammals"
"DB00105","Humans and other mammals"
"DB00106","Humans and other mammals"
"DB00107","Humans and other mammals"
"DB00108","Humans and other mammals"
"DB00109","Human Immunodeficiency Virus"
"DB00111","Humans and other mammals"
"DB00112","Humans and other mammals"
"DB00113","Humans and other mammals"
"DB00114","Humans and other mammals"
"DB00115","Humans and other mammals"
"DB00116","Humans and other mammals"
"DB00117","Humans and other mammals"
"DB00118","Humans and other mammals"
"DB00119","Humans and other mammals"
"DB00120","Humans and other mammals"
"DB00121","Humans and other mammals"
"DB00122","Humans and other mammals"
"DB00123","Humans and other mammals"
