"primary_key","category_Categories","mesh-id_Categories"
"DB00001","Amino Acids, Peptides, and Proteins","D000602"
"DB00001","Anticoagulants","D000925"
"DB00001","Antithrombin Proteins","D058833"
"DB00001","Antithrombins","D000991"
"DB00001","Blood and Blood Forming Organs",NA
"DB00001","Cardiovascular Agents","D002317"
"DB00001","Enzyme Inhibitors","D004791"
"DB00001","Fibrin Modulating Agents","D050299"
"DB00001","Hematologic Agents","D006401"
"DB00001","Peptides","D010455"
"DB00001","Protease Inhibitors","D011480"
"DB00001","Proteins","D011506"
"DB00001","Serine Proteinase Inhibitors","D015842"
"DB00001","Serpins","D015843"
"DB00001","Thrombin Inhibitors",NA
"DB00002","Amino Acids, Peptides, and Proteins","D000602"
"DB00002","Antibodies","D000906"
"DB00002","Antibodies, Monoclonal","D000911"
"DB00002","Antibodies, Monoclonal, Humanized","D061067"
"DB00002","Antineoplastic Agents","D000970"
"DB00002","Antineoplastic and Immunomodulating Agents",NA
"DB00002","Blood Proteins","D001798"
"DB00002","Epidermal Growth Factor Receptor Antagonist",NA
"DB00002","Globulins","D005916"
"DB00002","HER1 Antagonists",NA
"DB00002","Immunoglobulins","D007136"
"DB00002","Immunoproteins","D007162"
"DB00002","Proteins","D011506"
"DB00002","Serum Globulins","D012712"
"DB00003","Amino Acids, Peptides, and Proteins","D000602"
"DB00003","Cough and Cold Preparations",NA
"DB00003","Decreased Respiratory Secretion Viscosity",NA
"DB00003","Deoxyribonucleases","D003851"
"DB00003","Endodeoxyribonucleases","D004706"
"DB00003","Endonucleases","D004720"
"DB00003","Enzymes","D004798"
"DB00003","Enzymes and Coenzymes","D045762"
"DB00003","Esterases","D004950"
"DB00003","Expectorants","D005100"
"DB00003","Hydrolases","D006867"
"DB00003","Proteins","D011506"
"DB00003","Recombinant Human Deoxyribonuclease 1",NA
"DB00004","ADP Ribose Transferases","D036002"
"DB00004","Amino Acids, Peptides, and Proteins","D000602"
"DB00004","Antineoplastic Agents","D000970"
"DB00004","Antineoplastic and Immunomodulating Agents",NA
"DB00004","Bacterial Toxins","D001427"
"DB00004","Biological Factors","D001685"
"DB00004","CD25-directed Cytotoxin",NA
"DB00004","Cytokines","D016207"
"DB00004","Enzymes","D004798"
"DB00004","Enzymes and Coenzymes","D045762"
"DB00004","Glycosyltransferases","D016695"
"DB00004","Intercellular Signaling Peptides and Proteins","D036341"
"DB00004","Interleukins","D007378"
"DB00004","Lymphokines","D008222"
"DB00004","Pentosyltransferases","D010430"
"DB00004","Peptides","D010455"
"DB00004","Proteins","D011506"
"DB00004","Recombinant Proteins","D011994"
"DB00004","Toxins, Biological","D014118"
"DB00004","Transferases","D014166"
"DB00005","Agents reducing cytokine levels",NA
"DB00005","Amino Acids, Peptides, and Proteins","D000602"
"DB00005","Anti-Inflammatory Agents","D000893"
"DB00005","Antibodies","D000906"
"DB00005","Antirheumatic Agents","D018501"
"DB00005","Biologics for Rheumatoid Arthritis Treatment",NA
"DB00005","Disease-modifying Antirheumatic Agents",NA
"DB00005","Immunoglobulin Isotypes","D007132"
"DB00005","Immunologic Factors","D007155"
"DB00005","Immunoproteins","D007162"
"DB00005","Immunosuppressive Agents","D007166"
"DB00005","Membrane Proteins","D008565"
"DB00005","Proteins","D011506"
"DB00005","Receptors, Cell Surface","D011956"
"DB00005","Receptors, Cytokine","D018121"
"DB00005","Receptors, Immunologic","D011971"
"DB00005","Receptors, Tumor Necrosis Factor","D018124"
"DB00005","Serum Globulins","D012712"
"DB00005","Tumor Necrosis Factor Alpha (TNF-a) Inhibitors",NA
"DB00005","Tumor Necrosis Factor Blocker",NA
"DB00005","Tumor Necrosis Factor Receptor Blocking Activity",NA
"DB00006","Amino Acids, Peptides, and Proteins","D000602"
"DB00006","Anticoagulants","D000925"
"DB00006","Antithrombin Proteins","D058833"
"DB00006","Antithrombins","D000991"
"DB00006","Blood and Blood Forming Organs",NA
"DB00006","Enzyme Inhibitors","D004791"
"DB00006","Hematologic Agents","D006401"
"DB00006","Peptides","D010455"
"DB00006","Proteins","D011506"
"DB00006","Serine Proteinase Inhibitors","D015842"
"DB00006","Serpins","D015843"
"DB00006","Thrombin Inhibitors",NA
"DB00007","Adrenal Cortex Hormones","D000305"
