"primary_key","food_interaction_Food_Interactions"
"DB00006","Dan shen, dong quai, evening primrose oil, gingko, policosanol, willow bark"
"DB00006","Echinacea"
"DB00008","Recommended adequate hydration."
"DB00011","Avoid alcohol."
"DB00034","Avoid alcohol."
"DB00046","Inject subcutaneuosly 15 minutes before meal"
"DB00067","Ethanol"
"DB00085","Delayed release capsules should not be broken or crushed, but for those patients who cannot swallow the capsules, sprinkle the contents of the capsule onto soft acidic foods (pH of =4.5). Alkaline foods with a higher pH will promote early release of pancrelipase followed by enzyme inactivation in the stomach."
"DB00085","Multivitamins/minerals which have vitamins ADEK, folate, or iron: If pancrelipase is used in combination with multivitamins/minerals that have vitamins ADEK, folate, or iron then monitor therapy because pancrelipase may decrease absorption of iron in these multivitamin/mineral products."
"DB00085","Take pancrelipase with meals and a sufficient amount of water."
"DB00091","Avoid salt substitutes containing potassium."
"DB00091","Avoid taking with grapefruit or grapefruit juice as grapefruit can significantly increase serum levels of this product."
"DB00091","Red wine may reduce cyclosporine levels due to increased metabolism, therefore it appears prudent  to avoid red wine (white wine does not appear to affect cyclosporine metabolism)."
"DB00091","When taken with a meal, AUC and Cmax of cyclosporine modified decreased."
"DB00105","Avoid alcohol."
"DB00134","Take with food."
"DB00175","Avoid alcohol."
"DB00175","Avoid drastic changes in dietary habit."
"DB00175","Take without regard to meals."
"DB00176","Avoid alcohol."
"DB00176","Avoid high doses of caffeine."
"DB00176","Grapefruit and grapefruit juice should be avoided throughout treatment as grapefruit can significantly increase serum levels of this product."
"DB00176","Take without regard to meals."
"DB00178","Alcohol may increase the vasodilatory effects of ramipril."
"DB00178","Herbs that may attenuate the antihypertensive effect of ramipril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice."
"DB00178","High salt intake may attenuate the antihypertensive effect of ramipril."
"DB00178","Ramipril decreases the excretion of potassium. Salt substitutes containing potassium increase the risk of hyperkalemia."
"DB00178","Take without regard to meals."
"DB00181","Avoid alcohol."
"DB00181","Take without regard to meals."
"DB00186","Avoid alcohol."
"DB00186","Avoid excessive quantities of coffee or tea (Caffeine)."
"DB00186","Take with food."
"DB00188","Citrus fruits - Patients should avoid taking extra vitamin C (ascorbic acid) supplements and vitamin C-containing multi-vitamins during their bortezomib therapy. Ascorbic Acid may diminish the therapeutic effect of Bortezomib."
"DB00188","Green Tea - Green Tea may diminish the antineoplastic effect of Bortezomib. Avoid concurrent use of green tea extract and other green tea products during treatment with bortezomib."
"DB00189","Avoid alcohol"
"DB00189","Take with food to reduce irritation."
"DB00191","Limit caffeine intake."
"DB00191","Take without regard to meals."
"DB00193","Oral administration of tramadol hydrochloride with food does not significantly affect its rate or extent of absorption, therefore, tramadol hydrochloride can be administered without regard to food."
"DB00196","Take without regard to meals."
"DB00198","Take without regard to meals. Food may improve gastric tolerance."
"DB00199","Avoid alcohol."
"DB00199","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00199","Take with a full glass of water Avoid taking with grapefruit juice."
"DB00205","Folic acid needs increased."
"DB00205","Take with food to reduce irritation."
"DB00206","Magnesium, potassium and zinc needs increased."
"DB00206","Take with food to reduce irritation. Avoid alcohol."
"DB00207","Do not take Aluminum or magnesium antacids or supplements while on this medication."
"DB00207","Take on empty stomach: 1 hour before or 2 hours after meals."
"DB00208","High fat meals will increase ticlopidine absorption. As well, food can help ticlopidine-induced stomach upset."
