"primary_key","name_Packagers","url_Packagers"
"DB00001","Bayer Healthcare","http://www.bayerhealthcare.com"
"DB00001","Berlex Labs","http://www.berlex.com"
"DB00002","Cardinal Health","http://www.cardinal.com"
"DB00002","Catalent Pharma Solutions","http://www.catalent.com"
"DB00002","ImClone Systems Inc.","http://www.imclone.com"
"DB00002","Oso Biopharmaceuticals Manufacturing LLC",NA
"DB00003","Cardinal Health","http://www.cardinal.com"
"DB00003","Catalent Pharma Solutions","http://www.catalent.com"
"DB00003","F Hoffmann-La Roche Ltd.","http://www.roche.com"
"DB00003","Genentech Inc.","http://www.gene.com"
"DB00003","Meda AB","http://www.meda.se"
"DB00003","Medpointe Pharmaceuticals",NA
"DB00004","Eisai Inc.","http://www.eisai.com"
"DB00004","Hollister-Stier Laboratories LLC","http://www.hollisterstier.com"
"DB00004","Ligand Pharmaceuticals Inc.","http://www.ligand.com"
"DB00005","Amgen Inc.","http://www.amgen.com"
"DB00005","Boehringer Ingelheim Ltd.","http://www.boehringer-ingelheim.com"
"DB00005","DSM Corp.","http://www.dsm.com"
"DB00005","Immunex Corp.",NA
"DB00005","Physicians Total Care Inc.","http://www.physicianstotalcare.com"
"DB00005","Vetter Pharma Fertigung GmbH and Co. KG","http://www.vetter-pharma.com"
"DB00006","Ben Venue Laboratories Inc.","http://www.benvenue.com"
"DB00006","Oryx Pharmaceuticals Inc.",NA
"DB00006","Sepracor Pharmaceuticals Inc.","http://www.sepracor.com"
"DB00006","The Medicines Co.","http://www.themedicinescompany.com"
"DB00007","Abbott Laboratories Ltd.","http://www.abbott.com"
"DB00007","Cardinal Health","http://www.cardinal.com"
"DB00007","Eon Labs",NA
"DB00007","Hospira Inc.","http://www.hospira.com"
"DB00007","Oso Biopharmaceuticals Manufacturing LLC",NA
"DB00007","Physicians Total Care Inc.","http://www.physicianstotalcare.com"
"DB00007","Sanofi-Aventis Inc.","http://www.sanofi-aventis.com"
"DB00007","Sun Pharmaceutical Industries Ltd.","http://www.sunpharma.com"
"DB00007","Takeda Pharmaceutical Co. Ltd.","http://www.takeda.com"
"DB00007","Teva Pharmaceutical Industries Ltd.","http://www.tevapharm.com"
