"primary_key","synonym_Synonyms","language_Synonyms","coder_Synonyms"
"DB00001","Hirudin variant-1","english",NA
"DB00001","Lepirudin recombinant","english",NA
"DB00002","Cetuximab","spanish/german","inn"
"DB00002","Cétuximab","french","inn"
"DB00002","Cetuximabum","latin","inn"
"DB00002","Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer","english","inn"
"DB00003","Deoxyribonuclease (human clone 18-1 protein moiety)","english",NA
"DB00003","Dornasa alfa","spanish",NA
"DB00003","Dornase alfa, recombinant","english",NA
"DB00003","Dornase alpha","english",NA
"DB00003","Recombinant deoxyribonuclease (DNAse)","english",NA
"DB00004","Denileukin","english",NA
"DB00004","Interleukin-2/diptheria toxin fusion protein","english",NA
"DB00005","Etanercept","english","inn/ban/usan"
"DB00005","etanercept-szzs","english",NA
"DB00005","etanercept-ykro","english",NA
"DB00005","Recombinant human TNF","english",NA
"DB00005","rhu TNFR:Fc","english",NA
"DB00005","rhu-TNFR:Fc","english",NA
"DB00005","TNFR-Immunoadhesin","english",NA
"DB00006","Bivalirudin","english","inn/usan"
"DB00006","Bivalirudina","spanish",NA
"DB00006","Bivalirudinum","latin",NA
"DB00007","Leuprorelin","english","inn"
"DB00007","Leuprorelina","spanish","inn"
"DB00007","Leuproreline","french","inn"
"DB00007","Leuprorelinum","latin","inn"
"DB00008","PEG-IFN alfa-2A","english",NA
"DB00008","PEG-Interferon alfa-2A","english",NA
"DB00008","Peginterferon alfa-2a","english","inn/ban/usan"
"DB00008","Pegylated Interfeaon alfa-2A","english",NA
"DB00008","Pegylated interferon alfa-2a","english",NA
"DB00008","Pegylated interferon alpha-2a","english",NA
"DB00008","Pegylated-interferon alfa 2a","english",NA
"DB00009","Alteplasa","spanish",NA
"DB00009","Alteplase (genetical recombination)","english",NA
"DB00009","Alteplase, recombinant","english",NA
"DB00009","Alteplase,recombinant","english",NA
"DB00009","Plasminogen activator (human tissue-type protein moiety)","english",NA
"DB00009","rt-PA","english",NA
"DB00009","t-PA","english",NA
"DB00009","t-plasminogen activator","english",NA
"DB00009","Tissue plasminogen activator","english",NA
"DB00009","Tissue plasminogen activator alteplase","english",NA
"DB00009","Tissue plasminogen activator, recombinant","english",NA
"DB00009","tPA","english",NA
"DB00011","Interferon alpha-n1 (INS)","english",NA
"DB00012","Darbepoetin","english",NA
"DB00012","Darbepoetin alfa,recombinant","english",NA
"DB00012","Darbepoetina alfa","spanish",NA
"DB00013","Kinase (enzyme-activating), uro-urokinase","english",NA
"DB00013","TCUK","english",NA
"DB00013","Tissue culture urokinase","english",NA
"DB00013","Two-chain urokinase","english",NA
"DB00013","Urochinasi","italian",NA
