primary_key,name,indication,symptoms
DB00001,Lepirudin,For the treatment of heparin-induced thrombocytopenia,"['Hirudin variant-1', 'Lepirudin recombinant']"
DB00002,Cetuximab,"Cetuximab, used in combination with irinotecan, is indicated for the treatment of EGFR-expressing, metastatic colorectal carcinoma in patients who are refractory to irinotecan-based chemotherapy. Cetuximab administered as a single agent is indicated for the treatment of EGFR-expressing, metastatic colorectal carcinoma in patients who are intolerant to irinotecan-based chemotherapy.","['Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer']"
DB00003,Dornase alfa,Used as adjunct therapy in the treatment of cystic fibrosis.,"['Deoxyribonuclease (human clone 18-1 protein moiety)', 'Dornase alfa, recombinant', 'Dornase alpha', 'Recombinant deoxyribonuclease (DNAse)']"
DB00004,Denileukin diftitox,For treatment of cutaneous T-cell lymphoma,"['Denileukin', 'Interleukin-2/diptheria toxin fusion protein']"
DB00005,Etanercept,Etanercept is indicated for the treatment of moderately to severely active rheumatoid arthritis in adults and chronic moderate to severe plaque psoriasis in adults. It is also used to manage signs and symptoms of polyarticular idiopathic arthritis in those aged 4 to 17 after insufficient response to one or more disease-modifying anti-rheumatic drugs. Etanercept is also used to improve psoriatic arthritis and ankylosing spondylitis.,"['Etanercept', 'etanercept-szzs', 'etanercept-ykro', 'Recombinant human TNF', 'rhu TNFR:Fc', 'rhu-TNFR:Fc', 'TNFR-Immunoadhesin']"
DB00006,Bivalirudin,"For treatment of heparin-induced thrombocytopenia and for the prevention of thrombosis. Bivalirudin is indicated for use in patients undergoing percutaneous coronary intervention (PCI), in patients at moderate to high risk acute coronary syndromes due to unstable angina or non-ST segment elevation in whom a PCI is planned.",['Bivalirudin']
DB00007,Leuprolide,"For treatment of prostate cancer, endometriosis, uterine fibroids and premature puberty",['Leuprorelin']
DB00008,Peginterferon alfa-2a,"Peginterferon alfa-2a is indicated for the treatment of HCV in combination with other antiviral drugs in patients over 5 years of age with compensated liver disease [FDA Label]. May be used as a monotherapy in patients with contraindications to or significant intolerance to other anti-viral therapies.

Peginterferon alfa-2a is also indicated as a monotherapy for adult patients with HBeAg positive and HBeAg negative chronic hepatitis B infection who have
compensated liver disease and evidence of viral replication and liver inflammation [FDA Label].","['PEG-IFN alfa-2A', 'PEG-Interferon alfa-2A', 'Peginterferon alfa-2a', 'Pegylated Interfeaon alfa-2A', 'Pegylated interferon alfa-2a', 'Pegylated interferon alpha-2a', 'Pegylated-interferon alfa 2a']"
DB00009,Alteplase,"For management of acute myocardial infarction, acute ischemic strok and for lysis of acute pulmonary emboli","['Alteplase (genetical recombination)', 'Alteplase, recombinant', 'Alteplase,recombinant', 'Plasminogen activator (human tissue-type protein moiety)', 'rt-PA', 't-PA', 't-plasminogen activator', 'Tissue plasminogen activator', 'Tissue plasminogen activator alteplase', 'Tissue plasminogen activator, recombinant', 'tPA']"
DB00010,Sermorelin,"For the treatment of dwarfism, prevention of HIV-induced weight loss",
DB00011,Interferon alfa-n1,For treatment of venereal or genital warts caused by the Human Papiloma Virus,['Interferon alpha-n1 (INS)']
DB00012,Darbepoetin alfa,For the treatment of anemia (from renal transplants or certain HIV treatment),"['Darbepoetin', 'Darbepoetin alfa,recombinant']"
DB00013,Urokinase,"Urokinase can be used for the treatment of pulminary embolism, coronary artery thrombosis, IV catheter clearance, and venous and arterial blood clots.","['Kinase (enzyme-activating), uro-urokinase', 'TCUK', 'Tissue culture urokinase', 'Two-chain urokinase', 'Urokinase']"
DB00014,Goserelin,"Goserelin is indicated for:

- Use in combination with flutamide for the management of locally confined carcinoma of the prostate
- Palliative treatment of advanced carcinoma of the prostate
- The management of endometriosis
- Use as an endometrial-thinning agent prior to endometrial ablation for dysfunctional uterine bleeding
- Use in the palliative treatment of advanced breast cancer in pre- and perimenopausal women",['Goserelin']
DB00015,Reteplase,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction","['Human t-PA (residues 1-3 and 176-527)', 'Reteplase, recombinant', 'Reteplase,recombinant']"
DB00016,Erythropoietin,"Indicated in adult and paediatric patients for the: 

- treatment of anemia due to Chronic Kidney Disease (CKD) in patients on dialysis and not on dialysis.
- treatment of anemia due to zidovudine in patients with HIV-infection. 
- treatment of anemia due to the effects of concomitant myelosuppressive chemotherapy, and upon initiation, there is a minimum of two additional months of planned chemotherapy.
- reduction of allogeneic RBC transfusions in patients undergoing elective, noncardiac, nonvascular surgery.","['E.P.O.', 'Epoetin alfa', 'Epoetin alfa rDNA', 'Epoetin alfa-epbx', 'Epoetin alfa, recombinant', 'Epoetin beta', 'Epoetin beta rDNA', 'Epoetin epsilon', 'Epoetin gamma', 'Epoetin gamma rDNA', 'Epoetin kappa', 'Epoetin omega', 'Epoetin theta', 'Erythropoiesis stimulating factor', 'Erythropoietin (human, recombinant)', 'Erythropoietin (recombinant human)', 'ESF', 'SH-polypeptide-72']"
