"Streetname","District","Type"
"KLG Hackenberg Georg Loibl","19","Kleingartenanlage"
"KLG Hackenberg Kranl","19","Kleingartenanlage"
"KLG Karl-Marx-Hof","19","Kleingartenanlage"
"SDL Wildbach Eigengründe","13","Gartensiedlung und Siedlung"
"KLG Himmelteich","22","Kleingartenanlage"
"Sailergrabenbrücke","13","Brücke"
"Ferchenbauergasse","21","Gemeindestraße"
"Sankt-Georgen-Berg","23","Berg"
"Schanze 29","22","Gartensiedlung und Siedlung"
"Schanze 26","22","Kleingartenanlage"
"Schanzelufer","1","Flurname"
"KLG Aus eigener Kraft","10","Kleingartenanlage"
"Unterführung Sängergasse","11","Unterführung"
"Schießstätte","23","Flurname"
"Schubertweg","11","Weg in Kleingartenanlage"
"Sillerweg","10","Weg in Kleingartenanlage"
"Sonnenweg","10","Weg in Kleingartenanlage"
"Steinbachstraße","14","Gemeindestraße"
"Johann-Zak-Weg","22","Gemeindestraße"
"Karl-Schott-Gasse","21","Gemeindestraße"
"Kreuzbühel","17","Flurname"
"Praterbrücke-Kaibrücke","2","Brücke"
"Gustav-Fuchs-Hof","11","städtische Wohnhausanlage"
"Parkanlage Kirschenallee","22","Park"
"Gustav-Klimt-Park","14","Park"
"Fritz-Imhoff-Park","6","Park"
"Hayekpark","19","Park"
"Parkanlage Am Hundsturm","5","Park"
"Blumenweg","11","Weg in Kleingartenanlage"
"Sportplatz Nußdorfer AC","19","Sportplatz"
"U-Bahn Station Vorgartenstraße","2","U-Bahnstation"
"U-Bahn Station Nestroyplatz","2","U-Bahnstation"
"U-Bahn Station Südtiroler Platz Hauptbahnhof","4","U-Bahnstation"
"Felix-Swoboda-Hof","11","städtische Wohnhausanlage"
"Otto-Gratzl-Hof","20","städtische Wohnhausanlage"
"Ernst-Theumer-Hof","21","städtische Wohnhausanlage"
"Friedhof Neustift am Walde","18","Friedhof"
"Friedhof Oberlaa","10","Friedhof"
"Friedhof Ottakring","16","Friedhof"
"Friedhof Pötzleinsdorf","18","Friedhof"
"Friedhof Sievering","19","Friedhof"
"Jakob-Kern-Weg","14","Gemeindestraße"
"Gewidmete Verkehrsfläche","19","Gemeindestraße"
"Morathgasse","12","Gemeindestraße"
"Kishonweg","21","Gemeindestraße"
"Gewidmete Verkehrsfläche","19","Gemeindestraße"
"Gewidmete Verkehrsfläche","13","Gemeindestraße"
"Speckbachergasse","16","Gemeindestraße"
"Spitzweggasse","13","Gemeindestraße"
"Stadiongasse","1","Gemeindestraße"
"Stadlauer Straße","22","Gemeindestraße"
"Eckbach","17","Fließgewässer"
"Josefsdorf","19","Flurname"
"Camesinaweg","12","Gemeindestraße"
"Otto-Willmann-Gasse","10","Gemeindestraße"
"Kurt-Ohnsorg-Weg","22","Gemeindestraße"
"Dobrowskygasse","23","Gemeindestraße"
"Rudofskyweg","22","Gemeindestraße"
"Josef-Gala-Gasse","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","14","Gemeindestraße"
"Brücke Schemmerlstraße","11","Brücke"
"Fußweg Ibsenstraße","15","Gebrauchsname"
"Lindenbauergasse","11","Gemeindestraße"
"Ernst-Hinterberger-Gasse","22","Gemeindestraße"
"Billy-Wilder-Straße","3","Gemeindestraße"
"Rubin-Bittmann-Promenade","3","Gemeindestraße"
"Celtesgasse","19","Gemeindestraße"
"Entensteig","21","Gemeindestraße"
"Jandagasse","21","Gemeindestraße"
"Maiglöckchenweg","22","Gemeindestraße"
"Krallgasse","22","Gemeindestraße"
"Ginkgoweg","22","Gemeindestraße"
