FID,SCD,STR_NAME,BEZANZ,BEZLISTE,GUELTIG_AB,GIP_OBJECTID,NAMECAT,NAMECAT_NAME
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_311d,16393,KLG Hackenberg Georg Loibl,1,19,1980-12-12,10009484,7353,Kleingartenanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_311e,16397,KLG Hackenberg Kranl,1,19,1980-12-12,10009488,7353,Kleingartenanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_311f,16400,KLG Karl-Marx-Hof,1,19,2013-10-31,10009491,7353,Kleingartenanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_3120,16403,SDL Wildbach Eigengründe,1,13,1988-01-15,10009494,20071,Gartensiedlung und Siedlung
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_3121,16405,KLG Himmelteich,1,22,1981-06-22,10009496,7353,Kleingartenanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_3122,10491,Sailergrabenbrücke,1,13,1989-05-18,10007768,2068,Brücke
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_3123,01170,Ferchenbauergasse,1,21,1883-01-01,10001131,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_3124,18267,Sankt-Georgen-Berg,1,23,1973-01-05,10009975,10060,Berg
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_3125,18271,Schanze 29,1,22,1975-10-17,10009979,20071,Gartensiedlung und Siedlung
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_3126,18273,Schanze 26,1,22,1975-10-17,10009981,7353,Kleingartenanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_3127,18275,Schanzelufer,1,1,1973-01-05,10009983,7355,Flurname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_3128,16034,KLG Aus eigener Kraft,1,10,1973-01-05,10009138,7353,Kleingartenanlage
