lastname,address,phone,specialties
Dr. Zsuzsanna Palfi,"Vorgartenstraße 206C, 1020 Wien",01/890 45 20,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Bernd Gmeinhart,"Rembrandtstraße 12/4, 1020 Wien",01/330 45 05,Hautarzt
Dr. Michael Younan,"Vorgartenstraße 206C, 1020 Wien",01/890 45 20,"Hautarzt | Hautarzt,Wahlarzt"
Dr. Sigrid Psaier,"Fanny-Mintz-Gasse 3/Top 10, 1020 Wien",01/2123005,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Josefine Herta Klade,"Praterstraße 56, 1020 Wien",01/212 68 58,Hautärztin
Dr. Helmut Leonhartsberger,"Praterstraße 10/5, 1020 Wien",01/214 13 86,Hautarzt
Dr. Anna Gappmayer,"Große Pfarrgasse 23 / 1, 1020 Wien",0660/3254448,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Ilse Holtenau,"Taborstraße 11A/16, 1020 Wien",01/2124969,Hautärztin
Dr. Hélène Rottmann,"Thugutstraße 5/21 (Ecke Böcklinstraße 72), 1020 Wien",0664/301 41 85,"Hautärztin | Hautärztin,Wahlärztin"
Dr. Oliver Kandel,"Zirkusgasse 50, 1020 Wien",01/2120569,Hautarzt
Dr. Leila Arfaian,"Kleine Stadtgutgasse 6-8/3/18, 1020 Wien",0664/4375467,"Hautärztin | Hautärztin,Wahlärztin u. Privat"
Prim. Univ.Prof. Dr. Beatrix Volc-Platzer,"Wiesingerstraße 3, 1010 Wien",0676/7064989,"Hautärztin | Hautärztin, Humangenetikerin, Angiologin,Wahlärztin"
Prim. Dr. Daniel Blagojevic,"Rosenbursenstraße 8/7, 1010 Wien",0677/6203 7767,"Hautarzt | Hautarzt, Angiologe,Wahlarzt"
Dr. Elisabeth Heere-Ress,"Rotenturmstraße 25/13, 1010 Wien",01/533 44 48,"Hautärztin | Hautärztin, Angiologin"
