full_name,address,phone,specialties
Lic.Med. Carolina Martin Mestre,"Fanny-Mintz-Gasse 3, 1020 wien",01/2123005,"Anästhesistin,Wahlärztin"
Dr. Wilfrid Junker,"Vorgartenstraße 158/1/1, 1020 Wien",01/728 68 81,Lungenfacharzt
Priv.Doz. Univ.Prof.DPU Dr. Dritan Turhani,"Obere Donaustraße 97-99/4/3, 1020 Wien",0664/5308060,"Kieferchirurg,Wahlarzt"
Dr. Luka Girardi,"Schoellerhofgasse 5, 1020 Wien",0676/ 91 35 664,"Internist, Angiologe, Geriater,Wahlarzt"
Dr. Zsuzsanna Palfi,"Vorgartenstraße 206C, 1020 Wien",01/890 45 20,"Hautärztin,Wahlärztin"
OA Dr. Michael Vrba,"Obere Donaustraße 43/1/23, 1020 Wien",0664/211 88 88,Allgemeinchirurg
Dr. Petros Skyllouriotis,"Praterstraße 78/2/5, 1020 Wien",0664/454 30 12,"Allgemeinchirurg, Herzchirurg, Gefäßchirurg,Wahlarzt"
OA Dr. Peter Schwameis,"Vorgartenstraße 206C, 1020 Wien",01/890 45 20,"Allgemeinchirurg,Wahlarzt"
OA Dr. Michael Georg Lilgenau,"Halmgasse 4/16, 1020 Wien",01/943 19 71,"Allgemeinchirurg, Gefäßchirurg,Wahlarzt"
Prim. Univ.Doz. Dr. Wolfgang Pumberger,"Wolfgang-Schmälzl-Gasse 14, 1020 Wien",01/799 92 95,"Kinderchirurg, Allgemeinchirurg,Wahlarzt"
Priv.Doz. Dr. Tudor Birsan,"Schoellerhofgasse 5, 1020 Wien",0650/3192586,"Allgemeinchirurg, Viszeralchirurg,Wahlarzt"
OA Dr. Daniel Arnold August Gebauer,"Hammer-Purgstall-Gasse 5/1-2, 1020 Wien",0699/17 17 22 08,"Allgemeinchirurg, Viszeralchirurg,Wahlarzt"
Dr. Roswitha Schmiederer,"Rembrandtstraße 39/6, 1020 Wien",01/3306885,"Allgemeinchirurgin, Viszeralchirurgin,Wahlärztin"
Dr. Erika Pilz,"Schrottgießergasse 1, 1020 Wien",01/218 06 04,"Plastische Chirurgin, Allgemeinchirurgin, Viszeralchirurgin,Privat"
OA Dr. Bernhard Dauser,"Wehlistraße 150/2/4, 1020 Wien",01/2199242,"Allgemeinchirurg, Viszeralchirurg,Wahlarzt"
Dr. Radoslava Stoyanova,"Fanny-Mintz-Gasse 3, 1020 Wien",0676/314 89 19,"Allgemeinchirurgin, Viszeralchirurgin"
OA Dr. Günter Michael Wimberger,"Ausstellungsstraße 1/2, 1020 Wien",01/7286551,"Allgemeinchirurg, Viszeralchirurg"
OA Dr. Behrooz Salehi,"Fanny Mintz-Gasse 3/101, 1020 Wien",01/2123005,Allgemeinchirurg
Univ. Prof. Dr. Michael Rogy,"Kleine Stadtgutgasse 6-8/Top 10, 1020 Wien",01/478 07 17,"Allgemeinchirurg, Viszeralchirurg, Gefäßchirurg"
Dr. Mikulas Rottmann,"Thugutstraße 5/21, 1020 Wien",0664/4351050,"Allgemeinchirurg, Schwerpunkt: Proktologie,Wahlarzt u. Privat"
Prim. Dr. Helfried Feist,"Praterstraße 40/3/15, 1020 Wien",01/216 56 02,Lungenfacharzt
Univ.Prof. Dr. Mehrdad Baghestanian,"Lazarettgasse 25/1. Stock, 1090 Wien",01/401801550,"Lungenfacharzt, Internist, Angiologe, Kardiologe,Privat"
OÄ Dr. Marie Slavicek,"Wehlistraße 150/2/4, 1020 Wien",01/2199242,"Anästhesistin,Wahlärztin"
OA Dr. Petr Stejfa,"Venediger Au 5/7, 1020 Wien",0699/11 35 92 72,"Anästhesist,Wahlarzt"
OÄ Dr. Astrid Sehorst,"Praterstraße 60/1/13, 1020 Wien",0699/119 823 77,"Anästhesistin,Wahlärztin"
