link,name,plz
1020 Wien,Wien,1020
1010 Wien,Wien,1010
1030 Wien,Wien,1030
1040 Wien,Wien,1040
1050 Wien,Wien,1050
1060 Wien,Wien,1060
1070 Wien,Wien,1070
1080 Wien,Wien,1080
1090 Wien,Wien,1090
1120 Wien,Wien,1120
1010 Wien,Wien,1010
1020 Wien,Wien,1020
1030 Wien,Wien,1030
1040 Wien,Wien,1040
1050 Wien,Wien,1050
1060 Wien,Wien,1060
1070 Wien,Wien,1070
1080 Wien,Wien,1080
1090 Wien,Wien,1090
1100 Wien,Wien,1100
1040 Wien,Wien,1040
1010 Wien,Wien,1010
1020 Wien,Wien,1020
1030 Wien,Wien,1030
1050 Wien,Wien,1050
1060 Wien,Wien,1060
1070 Wien,Wien,1070
1080 Wien,Wien,1080
1090 Wien,Wien,1090
1140 Wien,Wien,1140
1030 Wien,Wien,1030
1010 Wien,Wien,1010
1020 Wien,Wien,1020
1040 Wien,Wien,1040
1050 Wien,Wien,1050
1060 Wien,Wien,1060
1070 Wien,Wien,1070
1080 Wien,Wien,1080
1090 Wien,Wien,1090
1130 Wien,Wien,1130
1050 Wien,Wien,1050
1010 Wien,Wien,1010
1020 Wien,Wien,1020
1030 Wien,Wien,1030
1040 Wien,Wien,1040
1060 Wien,Wien,1060
1070 Wien,Wien,1070
1080 Wien,Wien,1080
1090 Wien,Wien,1090
1150 Wien,Wien,1150
1060 Wien,Wien,1060
1010 Wien,Wien,1010
1020 Wien,Wien,1020
1030 Wien,Wien,1030
1040 Wien,Wien,1040
1050 Wien,Wien,1050
1070 Wien,Wien,1070
1080 Wien,Wien,1080
1090 Wien,Wien,1090
1160 Wien,Wien,1160
1070 Wien,Wien,1070
1010 Wien,Wien,1010
1020 Wien,Wien,1020
1030 Wien,Wien,1030
1040 Wien,Wien,1040
1050 Wien,Wien,1050
1060 Wien,Wien,1060
1080 Wien,Wien,1080
1090 Wien,Wien,1090
1170 Wien,Wien,1170
1080 Wien,Wien,1080
1010 Wien,Wien,1010
1020 Wien,Wien,1020
1030 Wien,Wien,1030
1040 Wien,Wien,1040
1050 Wien,Wien,1050
1060 Wien,Wien,1060
1070 Wien,Wien,1070
1090 Wien,Wien,1090
1180 Wien,Wien,1180
1090 Wien,Wien,1090
1010 Wien,Wien,1010
1020 Wien,Wien,1020
1030 Wien,Wien,1030
1040 Wien,Wien,1040
1050 Wien,Wien,1050
1060 Wien,Wien,1060
1070 Wien,Wien,1070
1080 Wien,Wien,1080
